method,scenario,seed,status,K_true_relevant,K_selected,node_count_error,node_support_precision,node_support_recall,node_support_f1,group_ari,mean_score_correlation,measurement_reliability_level_B,heldout_nll_level_A,heldout_nll_level_B,heldout_nll_level_C,bootstrap_edge_jaccard,runtime_seconds,level_A_precision,level_A_recall,level_A_f1,level_A_fdr,level_A_fnr,level_A_specificity,level_A_tp,level_A_fp,level_A_fn,level_A_tn,level_A_mcc,level_A_shd,level_A_normalized_shd,level_A_auprc,level_A_partial_corr_rmse,level_A_exact_graph,level_A_any_false_edge,level_A_n_false_edges,level_A_edge_rmse,level_A_nonedge_rmse,level_A_detected_edge_sign_accuracy,level_B_precision,level_B_recall,level_B_f1,level_B_fdr,level_B_fnr,level_B_specificity,level_B_tp,level_B_fp,level_B_fn,level_B_tn,level_B_mcc,level_B_shd,level_B_normalized_shd,level_B_auprc,level_B_partial_corr_rmse,level_B_exact_graph,level_B_any_false_edge,level_B_n_false_edges,level_B_edge_rmse,level_B_nonedge_rmse,level_B_detected_edge_sign_accuracy,level_C_precision,level_C_recall,level_C_f1,level_C_fdr,level_C_fnr,level_C_specificity,level_C_tp,level_C_fp,level_C_fn,level_C_tn,level_C_mcc,level_C_shd,level_C_normalized_shd,level_C_auprc,level_C_partial_corr_rmse,level_C_exact_graph,level_C_any_false_edge,level_C_n_false_edges,level_C_edge_rmse,level_C_nonedge_rmse,level_C_detected_edge_sign_accuracy,degree_correlation,connected_component_count_error,spurious_bridges,lag_edge_precision,lag_edge_recall,lag_edge_f1
latent_variable_determination2,empty_graph,0,ok,6.0,6.0,0.0,1.0,0.9722222222222222,0.9859154929577464,0.9004739336492891,0.9658863883112191,0.9364455263990764,5.882908786751419,5.986456612335889,5.9819871754181655,0.6,0.15612200599571224,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.008696710177576924,1.0,0.0,0.0,,0.008696710177576924,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.007948313968592677,1.0,0.0,0.0,,0.007948313968592677,,,0.0,0.0,,,
latent_variable_determination2,empty_graph,1,ok,6.0,6.0,0.0,1.0,0.9722222222222222,0.9859154929577464,0.8356807511737089,0.9651816368735974,0.9370555833978015,5.957365064181269,5.890561298947268,5.883147040366353,0.175,0.14619839801162016,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0319575963013475,1.0,0.0,0.0,,0.0319575963013475,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.02969735056086265,1.0,0.0,0.0,,0.02969735056086265,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.030742839264361038,1.0,0.0,0.0,,0.030742839264361038,,,0.0,0.0,,,
latent_variable_determination2,empty_graph,2,ok,6.0,6.0,0.0,1.0,1.0,1.0,0.7963636363636364,0.9591374494387429,0.936047980942282,5.963525171450375,5.888615867721056,5.867793194705174,1.0,0.44405326299602166,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,0.0,1.0,0.0,1.0,0.0,0.9333333333333333,0.0,1.0,0.0,14.0,0.9333333333333333,1.0,0.06666666666666667,0.9333333333333333,0.0350049932195225,0.0,1.0,1.0,,0.0350049932195225,,,1.0,1.0,,,
latent_variable_determination2,empty_graph,3,ok,6.0,6.0,0.0,1.0,0.9444444444444444,0.9714285714285714,0.9461538461538461,0.9671673758449454,0.9398897259801048,6.24093084457963,6.165390930643124,6.162924980841553,1.0,0.15733338799327612,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.013304824842608783,1.0,0.0,0.0,,0.013304824842608783,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,
latent_variable_determination2,empty_graph,4,ok,6.0,6.0,0.0,1.0,1.0,1.0,0.7559633027522936,0.9602103739573132,0.9330382755759388,6.34708755316529,6.26917916126327,6.270988544432077,0.3,0.15083251299802214,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0023866559185394256,1.0,0.0,0.0,,0.0023866559185394256,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.006002332112577162,1.0,0.0,0.0,,0.006002332112577162,,,0.0,0.0,,,
latent_variable_determination2,chain,0,ok,6.0,6.0,0.0,1.0,0.9444444444444444,0.9714285714285714,0.781042654028436,0.9591905970385656,0.9342045044429607,5.472843081179464,5.513173170253277,5.373275603460987,0.9333333333333333,0.3106968039937783,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.024126719176877708,1.0,0.0,0.0,0.03476600228722902,0.016395438690137893,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.029765015398338333,1.0,0.0,0.0,0.05065702623988353,0.006772522333728606,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.030333982219052383,1.0,0.0,0.0,0.05156215092880929,0.007134284245530506,1.0,1.0,0.0,0.0,,,
latent_variable_determination2,chain,1,ok,6.0,6.0,0.0,1.0,0.9722222222222222,0.9859154929577464,0.966824644549763,0.9676794478732416,0.9377772649891907,5.5695871489152715,5.519070805463652,5.523122535599062,0.8267857142857142,0.39533434799523093,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.029865371943005817,1.0,0.0,0.0,0.03032988691804042,0.0296303837590835,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.027661333894266674,1.0,0.0,0.0,0.04168521629309678,0.01670016348764372,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.027468800856999414,1.0,0.0,0.0,0.041754311945252184,0.016127344721668324,1.0,1.0,0.0,0.0,,,
latent_variable_determination2,chain,2,ok,6.0,6.0,0.0,1.0,1.0,1.0,1.0,0.9668675385177109,0.9348552238661755,5.6909277146828865,5.848986793313097,5.848986793313097,0.9199999999999999,0.33476024799165316,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.052038182724956895,1.0,0.0,0.0,0.09013277641317839,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.05847038385490798,1.0,0.0,0.0,0.10127367557475561,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.05847038385490798,1.0,0.0,0.0,0.10127367557475561,0.0,1.0,1.0,0.0,0.0,,,
latent_variable_determination2,chain,3,ok,6.0,6.0,0.0,1.0,0.9722222222222222,0.9859154929577464,0.966824644549763,0.9686668609893322,0.9396618391867907,5.882547226165831,6.039238718255628,6.0381805631413545,0.9,0.1760389179980848,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.028332078539144746,1.0,0.0,0.0,0.043809501813786234,0.015634058556124507,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.03206402994894112,1.0,0.0,0.0,0.050068603478453766,0.016991777355785168,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.03290159998572641,1.0,0.0,0.0,0.05166780086766621,0.016999767621374225,1.0,1.0,0.0,0.0,,,
latent_variable_determination2,chain,4,ok,6.0,6.0,0.0,1.0,1.0,1.0,0.8703703703703703,0.9629211965886384,0.9328964990606198,5.9918819860008705,6.054508217659245,6.030044084505655,0.9000000000000001,0.33103510399814695,0.8333333333333334,1.0,0.9090909090909091,0.16666666666666666,0.0,0.9,5.0,1.0,0.0,9.0,0.8660254037844386,1.0,0.06666666666666667,1.0,0.031981720387331776,0.0,1.0,1.0,0.02847026919189762,0.03360011226872095,1.0,0.8333333333333334,1.0,0.9090909090909091,0.16666666666666666,0.0,0.9,5.0,1.0,0.0,9.0,0.8660254037844386,1.0,0.06666666666666667,1.0,0.0432557781843817,0.0,1.0,1.0,0.04936295297557262,0.03985276598017196,1.0,0.8333333333333334,1.0,0.9090909090909091,0.16666666666666666,0.0,0.9,5.0,1.0,0.0,9.0,0.8660254037844386,1.0,0.06666666666666667,1.0,0.037891339480055894,0.0,1.0,1.0,0.030816143796293646,0.040973321224332546,1.0,0.6123724356957946,0.0,0.0,,,
