scenario,seed,method,declared_failure,always_answer_form,gate_wrapped_answer
ate_poor_overlap,85000000,Pretrained soft router,support,True,False
ate_poor_overlap,85000000,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000000,Temperature-scaled router,support,True,False
ate_poor_overlap,85000000,Uniform expert mean,support,True,False
ate_poor_overlap,85000000,Median expert,support,True,False
ate_poor_overlap,85000000,Best fixed expert,support,True,False
ate_poor_overlap,85000000,Metadata-only selector,support,True,False
ate_poor_overlap,85000000,Shallow risk selector,support,True,False
ate_poor_overlap,85000000,Convex stack,support,True,False
ate_poor_overlap,85000000,Linear g-computation,support,True,False
ate_poor_overlap,85000000,Random forest g-computation,support,True,False
ate_poor_overlap,85000000,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000000,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000001,Pretrained soft router,support,True,False
ate_poor_overlap,85000001,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000001,Temperature-scaled router,support,True,False
ate_poor_overlap,85000001,Uniform expert mean,support,True,False
ate_poor_overlap,85000001,Median expert,support,True,False
ate_poor_overlap,85000001,Best fixed expert,support,True,False
ate_poor_overlap,85000001,Metadata-only selector,support,True,False
ate_poor_overlap,85000001,Shallow risk selector,support,True,False
ate_poor_overlap,85000001,Convex stack,support,True,False
ate_poor_overlap,85000001,Linear g-computation,support,True,False
ate_poor_overlap,85000001,Random forest g-computation,support,True,False
ate_poor_overlap,85000001,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000001,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000002,Pretrained soft router,support,True,False
ate_poor_overlap,85000002,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000002,Temperature-scaled router,support,True,False
ate_poor_overlap,85000002,Uniform expert mean,support,True,False
ate_poor_overlap,85000002,Median expert,support,True,False
ate_poor_overlap,85000002,Best fixed expert,support,True,False
ate_poor_overlap,85000002,Metadata-only selector,support,True,False
ate_poor_overlap,85000002,Shallow risk selector,support,True,False
ate_poor_overlap,85000002,Convex stack,support,True,False
ate_poor_overlap,85000002,Linear g-computation,support,True,False
ate_poor_overlap,85000002,Random forest g-computation,support,True,False
ate_poor_overlap,85000002,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000002,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000003,Pretrained soft router,support,True,False
ate_poor_overlap,85000003,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000003,Temperature-scaled router,support,True,False
ate_poor_overlap,85000003,Uniform expert mean,support,True,False
ate_poor_overlap,85000003,Median expert,support,True,False
ate_poor_overlap,85000003,Best fixed expert,support,True,False
ate_poor_overlap,85000003,Metadata-only selector,support,True,False
ate_poor_overlap,85000003,Shallow risk selector,support,True,False
ate_poor_overlap,85000003,Convex stack,support,True,False
ate_poor_overlap,85000003,Linear g-computation,support,True,False
ate_poor_overlap,85000003,Random forest g-computation,support,True,False
ate_poor_overlap,85000003,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000003,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000004,Pretrained soft router,support,True,False
ate_poor_overlap,85000004,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000004,Temperature-scaled router,support,True,False
ate_poor_overlap,85000004,Uniform expert mean,support,True,False
ate_poor_overlap,85000004,Median expert,support,True,False
ate_poor_overlap,85000004,Best fixed expert,support,True,False
ate_poor_overlap,85000004,Metadata-only selector,support,True,False
ate_poor_overlap,85000004,Shallow risk selector,support,True,False
ate_poor_overlap,85000004,Convex stack,support,True,False
ate_poor_overlap,85000004,Linear g-computation,support,True,False
ate_poor_overlap,85000004,Random forest g-computation,support,True,False
ate_poor_overlap,85000004,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000004,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000005,Pretrained soft router,support,True,False
ate_poor_overlap,85000005,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000005,Temperature-scaled router,support,True,False
ate_poor_overlap,85000005,Uniform expert mean,support,True,False
ate_poor_overlap,85000005,Median expert,support,True,False
ate_poor_overlap,85000005,Best fixed expert,support,True,False
ate_poor_overlap,85000005,Metadata-only selector,support,True,False
ate_poor_overlap,85000005,Shallow risk selector,support,True,False
ate_poor_overlap,85000005,Convex stack,support,True,False
ate_poor_overlap,85000005,Linear g-computation,support,True,False
ate_poor_overlap,85000005,Random forest g-computation,support,True,False
ate_poor_overlap,85000005,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000005,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000006,Pretrained soft router,support,True,False
ate_poor_overlap,85000006,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000006,Temperature-scaled router,support,True,False
ate_poor_overlap,85000006,Uniform expert mean,support,True,False
ate_poor_overlap,85000006,Median expert,support,True,False
ate_poor_overlap,85000006,Best fixed expert,support,True,False
ate_poor_overlap,85000006,Metadata-only selector,support,True,False
ate_poor_overlap,85000006,Shallow risk selector,support,True,False
ate_poor_overlap,85000006,Convex stack,support,True,False
ate_poor_overlap,85000006,Linear g-computation,support,True,False
ate_poor_overlap,85000006,Random forest g-computation,support,True,False
