method,scenario,seed,status,n_rows,n_clusters,treatment_prevalence,degree_mean,degree_q95,cluster_size_min,cluster_size_max,exposure_mean,exposure_sd,target_supported_a0,target_supported_a1,ess_a0_g0,ess_a0_g1,ess_a1_g0,ess_a1_g1,raw_count_a0_g0,raw_count_a0_g1,global_statistic_a0,global_p_a0,global_reject_001_a0,global_reject_005_a0,global_reject_010_a0,global_p_a1,global_reject_005_a1,outcome_precision,outcome_recall,outcome_f1,outcome_fdr,affected_set_exact_recovery,familywise_false_outcome,ASE_bias_mean,ASE_mae_mean,ASE_rmse,ASE_normalized_rmse,SASE_bias_mean,SASE_rmse,ASE_sign_accuracy,ASE_ci_coverage,ASE_ci_width,null_interval_coverage_zero,functional_precision,functional_recall,functional_f1,functional_any_detection,functional_global_p,dose_response_ISE,dose_response_IAE,dose_response_max_error,dose_response_pointwise_coverage,dose_response_simultaneous_coverage,ADE_bias_mean,ADE_rmse,INT_bias_mean,INT_rmse,INT_ci_coverage,interaction_detection,aipw_discrete_low_high_mean,outcome_regression_ASE_rmse,naive_A_G_ASE_rmse,oracle_ASE_rmse,mapping_sign_stability,mapping_sensitivity_range,exposure_mapping_correlation,relation_edge_disagreement_rate,false_interference,bootstrap_ASE_sd,failed_or_singular_fits,runtime_seconds,ASE_estimate_Y1,ASE_truth_Y1,ASE_error_Y1,ASE_p_Y1,ASE_detected_Y1,ASE_coverage_Y1,ASE_estimate_Y2,ASE_truth_Y2,ASE_error_Y2,ASE_p_Y2,ASE_detected_Y2,ASE_coverage_Y2,ASE_estimate_Y3,ASE_truth_Y3,ASE_error_Y3,ASE_p_Y3,ASE_detected_Y3,ASE_coverage_Y3,ASE_estimate_Y4,ASE_truth_Y4,ASE_error_Y4,ASE_p_Y4,ASE_detected_Y4,ASE_coverage_Y4,ASE_mean_unweighted_mapping,ASE_rmse_unweighted_mapping,ASE_mean_weighted_mapping,ASE_rmse_weighted_mapping,ASE_mean_distance_two_mapping,ASE_rmse_distance_two_mapping,aipw_weight_min,aipw_weight_median,aipw_weight_q95,aipw_weight_max,predictive_loss_with_G,predictive_loss_without_G,predictive_loss_naive_A_G,predictive_gain_G,policy_value_rmse,policy_ordering_accuracy,policy_regret
causal_interference_detection,direct_effect_null,0,ok,480.0,24.0,0.4979166666666667,4.429166793823242,7.0,20.0,20.0,0.510258848131971,0.33760297754632906,1.0,1.0,108.68085767523192,63.56460851049065,57.07543321134559,97.35080844188535,60.0,35.0,7.856438163745562,0.13333333333333333,0.0,0.0,0.0,0.2,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.09910406770219869,0.17799071293406843,0.18027967850031482,0.19167646374678907,0.11105723718703342,0.19167646374678907,,0.75,0.41903339379970284,0.75,0.0,1.0,0.0,1.0,0.03333333333333333,0.012866035292325757,0.08579835614489807,0.30058188933996016,0.8055555555555556,0.5,-0.08705964253598764,0.14615265095810395,-0.04787781235055434,0.11543485076678421,1.0,0.0,0.031334723834737774,0.18447278695829877,0.0759436418525417,0.0,,0.12736834170680583,1.0,0.0,0.0,0.10121579560379294,0.0,1.7827618209994398,0.22558775242791834,0.0,0.22558775242791834,0.02437591679416369,0.0,0.0,0.17505335306193082,0.0,0.17505335306193082,0.21390316489418004,0.0,1.0,0.1535484557826851,0.0,0.1535484557826851,0.1847667940463409,0.0,1.0,-0.1577732904637395,0.0,-0.1577732904637395,0.032348195482199395,0.0,1.0,0.09362059667848827,0.18886247245250865,0.09457342183246234,0.18447278695829877,0.0886711152849976,0.3108183179339973,1.1915403050700288,3.095704063349467,11.079355543146571,50.0,0.5794595865427363,0.5735181831390559,0.9194913926227262,-0.005941403403680434,,,
causal_interference_detection,direct_effect_null,1,ok,480.0,24.0,0.5208333333333334,4.616666793823242,8.0,20.0,20.0,0.52466280276988,0.3270662328947761,1.0,1.0,84.4890909922499,73.4118456073941,61.855086756178025,118.15062512377617,44.0,47.0,3.1438483759578326,0.6333333333333333,0.0,0.0,0.0,0.03333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.005058266885315032,0.09347015210633083,0.09701056343034588,0.10301958931041998,0.015964980321556965,0.10301958931041998,,1.0,0.4175803222524109,1.0,1.0,1.0,1.0,0.0,0.2,0.005623640474283305,0.06275825791977543,0.16382530272984627,1.0,1.0,0.0680509722037225,0.09310803775810395,0.13286608023376015,0.19178022165468692,0.75,1.0,0.08946565295773054,0.08645510684630185,0.08266060897009203,0.0,,0.0722488755301252,0.9999999999999998,0.0,0.0,0.1008648121382635,0.0,3.3892143349949038,0.06466412224364403,0.0,0.06466412224364403,0.39208083357260815,0.0,1.0,-0.07613192420388701,0.0,-0.07613192420388701,0.4771955326720658,0.0,1.0,-0.10069184623814459,0.0,-0.10069184623814459,0.19455853109998167,0.0,1.0,0.1323927157396477,0.0,0.1323927157396477,0.29486278467787874,0.0,1.0,0.015892151540533903,0.07816829565286286,0.009336597827183733,0.08645510684630185,0.064646525139215,0.09476332184612227,1.1440578547632951,3.096609389230933,17.08688697145341,50.0,0.545063777044351,0.5418204081526168,0.9228414983762936,-0.0032433688917342662,,,
causal_interference_detection,direct_effect_null,2,ok,480.0,24.0,0.6645833333333333,4.570833206176758,8.0,20.0,20.0,0.6935348331620326,0.30157138318211646,1.0,1.0,44.82943535162094,60.13473197005679,42.07747294704641,159.26277379071948,25.0,28.0,9.525225437238625,0.06666666666666667,0.0,0.0,1.0,0.8,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-0.2893522698933643,0.2893522698933643,0.2951791230581253,0.31525151481815833,-0.31084098208031696,0.31525151481815833,,0.5,0.5298818005726909,0.5,1.0,1.0,1.0,0.0,0.06666666666666667,0.029163162836263475,0.1466441542453333,0.33253509719672586,0.8055555555555556,0.75,0.052840371420783155,0.0741860514010119,0.27886703556249637,0.2985906381709324,0.5,1.0,0.3032193391619178,0.3084821080868964,0.11229726453809846,0.0,,0.19847523422732682,1.0,0.0,0.0,0.12799077308519102,0.0,2.390221064997604,-0.2782453937274315,0.0,-0.2782453937274315,0.023760492778659683,0.0,0.0,-0.3842476170863761,0.0,-0.3842476170863761,0.041833882275129,0.0,0.0,-0.2696522997665263,0.0,-0.2696522997665263,0.23266273302621687,0.0,1.0,-0.2252637689931234,0.0,-0.2252637689931234,0.20833806081321093,0.0,1.0,-0.2269818465032917,0.23646115390730052,-0.2991586220616389,0.3084821080868964,-0.10068338783431208,0.12569732033860698,1.3669586303130914,4.647862165924044,21.527709822291833,42.61633684590373,0.6066050470599903,0.587274025879061,0.9055574156153212,-0.01933102118092933,,,
causal_interference_detection,direct_effect_null,3,ok,480.0,24.0,0.5291666666666667,4.616666793823242,8.0,20.0,20.0,0.5290133152585921,0.3398158139948638,1.0,1.0,89.12603630510068,64.26697855917891,55.97781471483338,112.55831272028772,42.0,36.0,10.063938949677482,0.03333333333333333,0.0,1.0,1.0,0.06666666666666667,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.039418569030664166,0.07466706780257568,0.10065781300983154,0.10217684592966532,0.034964368371871876,0.10217684592966532,,1.0,0.49696180031446013,1.0,1.0,1.0,1.0,0.0,0.23333333333333334,0.004181998052839085,0.04636164743595398,0.1834882600806587,0.9166666666666666,0.75,0.08155742615231923,0.09319482696048087,0.09648611123357932,0.12633191876544475,1.0,0.0,-0.08113256480714152,0.09268027991346815,0.11389234641923833,0.0,,0.11154313045265496,1.0,0.0,1.0,0.12003908220156043,0.0,2.4395886929996777,-0.07049699754382302,0.0,-0.07049699754382302,0.6809586632947862,0.0,1.0,0.025006366776281,0.0,0.025006366776281,0.9727596211240391,0.0,1.0,0.18612488817995193,0.0,0.18612488817995193,0.04061183945167415,0.0,1.0,0.017040018710246733,0.0,0.017040018710246733,0.8565291738188285,0.0,1.0,-0.004252388212001933,0.10135300155026794,0.0286937175958248,0.09268027991346815,-0.01570567842495848,0.13262397776933754,1.1185559838672403,3.1844257737398003,13.431030858215495,43.17131559374383,0.568665228891694,0.5664120078686734,0.9234432146780319,-0.002253221023020613,,,
causal_interference_detection,direct_effect_null,4,ok,480.0,24.0,0.38333333333333336,4.754166603088379,8.0,20.0,20.0,0.39501697589909085,0.2961728881533198,1.0,1.0,149.8021562947968,58.26567955224791,71.23562935212401,64.7065444591405,86.0,25.0,2.2159240835067715,0.8,0.0,0.0,0.0,0.7,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0039763697571654835,0.0667071056863682,0.06887747797299613,0.061460516801687494,0.004503176475647077,0.061460516801687494,,1.0,0.44212758155408144,1.0,1.0,1.0,1.0,0.0,0.7666666666666667,0.006307544245163507,0.06005938228297879,0.22360081514428468,0.9444444444444444,0.75,-0.1029143795107718,0.16748521192589289,-0.08974405835803256,0.11307025297116102,1.0,0.0,0.0024144490610544314,0.060121174115171705,0.12422410714282016,0.0,,0.21849158418962733,1.0,0.0,0.0,0.10679410182465734,0.0,2.385566987999482,-0.08338267622198443,0.0,-0.08338267622198443,0.495999076841406,0.0,1.0,0.05926365167131539,0.0,0.05926365167131539,0.5279326173486046,0.0,1.0,-0.04207879563642099,0.0,-0.04207879563642099,0.745078247842424,0.0,1.0,0.08210329921575196,0.0,0.08210329921575196,0.3548629995450001,0.0,1.0,0.030931298579483513,0.07815177148727363,-0.008232610121104229,0.060121174115171705,0.07260030602484617,0.25678750638349473,1.1639874225692908,1.6244900409809322,10.231339188923187,19.135202137111918,0.44842228157943265,0.4430318637795302,0.9460808328400618,-0.005390417799902458,,,
causal_interference_detection,complete_null,0,ok,480.0,24.0,0.4979166666666667,4.429166793823242,7.0,20.0,20.0,0.510258848131971,0.33760297754632906,1.0,1.0,108.68085767523192,63.56460851049065,57.07543321134559,97.35080844188535,60.0,35.0,7.8567109521529765,0.13333333333333333,0.0,0.0,0.0,0.2,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.09978952543822647,0.1783334418020827,0.18065739849848794,0.19833891386571012,0.11317356037084338,0.19833891386571012,,0.75,0.41871960034236927,0.75,0.0,1.0,0.0,1.0,0.03333333333333333,0.012895725926334629,0.0861136586033371,0.30060811144479577,0.8055555555555556,0.5,-0.08731736637223068,0.14630631734060562,-0.049604267539631895,0.11616153930720086,1.0,0.0,0.031334723834737774,0.1846791090602075,0.07688673350877415,0.0,,0.1275456737708116,1.0,0.0,0.0,0.1011400000826979,0.0,2.7152294760016957,0.22627321016394691,0.0,0.22627321016394691,0.024392880248128784,0.0,0.0,0.17573881079795828,0.0,0.17573881079795828,0.21373416366846376,0.0,1.0,0.1542339135187131,0.0,0.1542339135187131,0.18434523516927104,0.0,1.0,-0.15708783272771243,0.0,-0.15708783272771243,0.032478694294960156,0.0,1.0,0.09402978331789594,0.1890656434396506,0.09497524052199505,0.1846791090602075,0.09001546284097163,0.31120450451095416,1.1915403050700288,3.095704063349467,11.079355543146571,50.0,0.6397517965680836,0.6332940356451583,1.0107908903162228,-0.006457760922925271,,,
causal_interference_detection,complete_null,1,ok,480.0,24.0,0.5208333333333334,4.616666793823242,8.0,20.0,20.0,0.52466280276988,0.3270662328947761,1.0,1.0,84.4890909922499,73.4118456073941,61.855086756178025,118.15062512377617,44.0,47.0,3.1445933279042646,0.6333333333333333,0.0,0.0,0.0,0.03333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.006501281314192094,0.093470152106331,0.09709649845342716,0.1081182675081695,0.01926783705747993,0.1081182675081695,,1.0,0.41730854265408135,1.0,1.0,1.0,1.0,0.0,0.2,0.005676471335678182,0.06277405937020426,0.16454880683416678,1.0,1.0,0.06813631947111146,0.09317043473313882,0.13048640732599837,0.19013931902182452,0.75,1.0,0.08946565295773054,0.08655037914202621,0.08325947802559323,0.0,,0.07213384228884955,0.9999999999999998,0.0,0.0,0.10079916489229021,0.0,2.493580890004523,0.06610713667252124,0.0,0.06610713667252124,0.3920977350129934,0.0,1.0,-0.07468890977501019,0.0,-0.07468890977501019,0.4770548258924229,0.0,1.0,-0.09924883180926763,0.0,-0.09924883180926763,0.19446872107777324,0.0,1.0,0.13383573016852496,0.0,0.13383573016852496,0.29484578247211357,0.0,1.0,0.01688307382760708,0.07837576249424638,0.010181094676392409,0.08655037914202621,0.06526095550587187,0.09518353990200153,1.1440578547632951,3.096609389230933,17.08688697145341,50.0,0.6006440778267701,0.59726106045746,1.0095086859621492,-0.003383017369310126,,,
causal_interference_detection,complete_null,2,ok,480.0,24.0,0.6645833333333333,4.570833206176758,8.0,20.0,20.0,0.6935348331620326,0.30157138318211646,1.0,1.0,44.82943535162094,60.13473197005679,42.07747294704641,159.26277379071948,25.0,28.0,9.497671608601642,0.06666666666666667,0.0,0.0,1.0,0.8,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-0.28688826971396975,0.28688826971396975,0.2927641677125071,0.322272949347123,-0.3183024478584717,0.322272949347123,,0.5,0.5300840747707806,0.5,1.0,1.0,1.0,0.0,0.06666666666666667,0.02877611573743791,0.14562430774022517,0.3324281212054192,0.8055555555555556,0.75,0.05252899909561868,0.07396459366869272,0.27380595973041183,0.2938694425485611,0.5,1.0,0.3032193391619178,0.30692400554378446,0.11099902515924653,0.0,,0.2025415049177788,1.0,0.0,0.0,0.12803963158714507,0.0,2.5317766700027278,-0.27578139354803666,0.0,-0.27578139354803666,0.02387794977218455,0.0,0.0,-0.38178361690698165,0.0,-0.38178361690698165,0.04193234290961312,0.0,0.0,-0.2671882995871312,0.0,-0.2671882995871312,0.23266396651092625,0.0,1.0,-0.22279976881372954,0.0,-0.22279976881372954,0.20816628925273784,0.0,1.0,-0.22534673865344218,0.23489204176998227,-0.29755170193283026,0.30692400554378446,-0.09501019701505146,0.12120069839464971,1.3669586303130914,4.647862165924044,21.527709822291833,42.61633684590373,0.6695159864736635,0.6482468689363525,0.9987940764884317,-0.021269117537310978,,,
causal_interference_detection,complete_null,3,ok,480.0,24.0,0.5291666666666667,4.616666793823242,8.0,20.0,20.0,0.5290133152585921,0.3398158139948638,1.0,1.0,89.12603630510068,64.26697855917891,55.97781471483338,112.55831272028772,42.0,36.0,10.075001543538196,0.03333333333333333,0.0,1.0,1.0,0.06666666666666667,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.04057522493304694,0.07524539575376696,0.10111637164111623,0.1084703357069173,0.03803815210396765,0.1084703357069173,,1.0,0.4970228687456709,1.0,1.0,1.0,1.0,0.0,0.23333333333333334,0.004209421447956658,0.04666955729299308,0.18376725833194205,0.9166666666666666,0.75,0.08155276256705293,0.0931907457525747,0.09462607293215872,0.12491708336549755,1.0,0.0,-0.08113256480714152,0.09288865164582938,0.11380114911647962,0.0,,0.11161852788652636,1.0,0.0,1.0,0.1200538330303553,0.0,2.4446840489981696,-0.06934034164144005,0.0,-0.06934034164144005,0.6811823364395897,0.0,1.0,0.026163022678662978,0.0,0.026163022678662978,0.9731075917183576,0.0,1.0,0.18728154408233488,0.0,0.18728154408233488,0.04045348354652324,0.0,1.0,0.018196674612629936,0.0,0.018196674612629936,0.8562209358918048,0.0,1.0,-0.0035238349638188095,0.10132504888029777,0.02935978115058921,0.09288865164582938,-0.01540369429911026,0.13258855509671327,1.1185559838672403,3.1844257737398003,13.431030858215495,43.17131559374383,0.6226611873376465,0.6203745391665788,1.0059366345504193,-0.0022866481710677178,,,
causal_interference_detection,complete_null,4,ok,480.0,24.0,0.38333333333333336,4.754166603088379,8.0,20.0,20.0,0.39501697589909085,0.2961728881533198,1.0,1.0,149.8021562947968,58.26567955224791,71.23562935212401,64.7065444591405,86.0,25.0,2.2168283421019566,0.8,0.0,0.0,0.0,0.7,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.004795020752833917,0.06670710568636819,0.06892958493633172,0.06307416160846732,0.005153248477599131,0.06307416160846732,,1.0,0.44214449252848276,1.0,1.0,1.0,1.0,0.0,0.7666666666666667,0.006322300709685568,0.060121817461917325,0.22387849156269937,0.9444444444444444,0.75,-0.10269787792503966,0.1673522656974817,-0.09057100782414823,0.11372771673903544,1.0,0.0,0.0024144490610544314,0.06005775372599705,0.1245577035474447,0.0,,0.2185063131574248,1.0,0.0,0.0,0.10679818660108281,0.0,2.316970425992622,-0.08256402522631603,0.0,-0.08256402522631603,0.4962686441047841,0.0,1.0,0.060082302666984236,0.0,0.060082302666984236,0.5279468087887513,0.0,1.0,-0.04126014464075249,0.0,-0.04126014464075249,0.7450176530130761,0.0,1.0,0.08292195021141996,0.0,0.08292195021141996,0.3546454537695879,0.0,1.0,0.031466918755452,0.0783653056572109,-0.007755905816330819,0.06005775372599705,0.07180692054797147,0.2565643249525037,1.1639874225692908,1.6244900409809322,10.231339188923187,19.135202137111918,0.4796530457003949,0.47364956665722363,1.0122117744048982,-0.006003479043171278,,,
