scenario,seed,task,identified_truth,supported_truth,id_probability,support_probability,prior_mismatch_probability,residual_gate,correction,compiled,final,selected_expert,estimator_weights,expert_estimates,world_entropy,world_effective_count,world_weights,split_probability,predicted_threshold,regime_evidence_score
ate_linear,20000000,static_ate,1,1,1.0,0.9987503290176392,0.6062870621681213,0.006692850962281227,4.070595949201561e-08,0.5444945693016052,0.54449462890625,spline,"[0.22847826778888702, 0.12080628424882889, 0.2485528141260147, 0.20619650185108185, 0.19596610963344574, 0.0]","[0.6201260685920715, -0.10564625263214111, 0.6209307909011841, 0.711980938911438, 0.5839270949363708, 0.44170039892196655]",1.7917587757110596,5.9999918937683105,"[0.16674953699111938, 0.166518896818161, 0.16703581809997559, 0.16650693118572235, 0.1666824221611023, 0.16650640964508057]",0.4976978600025177,,0.0
ate_linear,20000001,static_ate,1,1,1.0,0.99883633852005,0.3104434907436371,0.006692850962281227,-4.6536428044419154e-08,-0.47698497772216797,-0.47698503732681274,linear,"[0.23946963250637054, 0.11592144519090652, 0.21344344317913055, 0.23206254839897156, 0.19910293817520142, 0.0]","[-0.459593266248703, -0.5344080328941345, -0.4475708305835724, -0.4494648873806, -0.5280783772468567, -0.23207560181617737]",1.7917588949203491,5.9999918937683105,"[0.16674692928791046, 0.16651856899261475, 0.16703453660011292, 0.16651028394699097, 0.16668130457401276, 0.16650843620300293]",0.3986598253250122,,0.0
ate_linear,20000002,static_ate,1,1,1.0,0.9989272952079773,0.4822002351284027,0.006692850962281227,0.0,0.17924945056438446,0.17924945056438446,linear,"[0.23088207840919495, 0.1231350377202034, 0.19683532416820526, 0.2300199419260025, 0.21912768483161926, 0.0]","[0.15033988654613495, 0.18981795012950897, 0.19311296939849854, 0.22055666148662567, 0.14795735478401184, 0.1940913200378418]",1.7917587757110596,5.9999918937683105,"[0.1667478382587433, 0.16651834547519684, 0.1670353263616562, 0.16650868952274323, 0.16668230295181274, 0.1665075123310089]",0.45445162057876587,,0.0
ate_linear,20000003,static_ate,1,1,1.0,0.9985166192054749,0.22619107365608215,0.006692850962281227,7.900482756895144e-08,-1.2315077781677246,-1.2315077781677246,linear,"[0.25230661034584045, 0.10415469110012054, 0.23892085254192352, 0.23328636586666107, 0.1713315099477768, 0.0]","[-1.2084949016571045, -1.1991595029830933, -1.2021520137786865, -1.259792685508728, -1.2874854803085327, -1.0313482284545898]",1.7917587757110596,5.999992847442627,"[0.16674786806106567, 0.1665191650390625, 0.1670345664024353, 0.16650918126106262, 0.16668108105659485, 0.16650809347629547]",0.42123284935951233,,0.0
ate_linear,20000004,static_ate,1,1,1.0,0.9986649751663208,0.6742661595344543,0.006692850962281227,0.0,1.1465786695480347,1.1465786695480347,interaction,"[0.21104303002357483, 0.12435910850763321, 0.21825146675109863, 0.23276054859161377, 0.21358591318130493, 0.0]","[1.1856985092163086, 1.0355892181396484, 1.2133783102035522, 1.1798845529556274, 1.067992925643921, 1.146741509437561]",1.7917587757110596,5.999992847442627,"[0.16674785315990448, 0.1665187031030655, 0.16703495383262634, 0.16650909185409546, 0.16668148338794708, 0.16650786995887756]",0.5812758207321167,,0.0
ate_linear,20000005,static_ate,1,1,1.0,0.9986153841018677,0.24290388822555542,0.006692850962281227,-7.360582543469718e-08,-0.7206702828407288,-0.7206703424453735,interaction,"[0.24576696753501892, 0.10043362528085709, 0.19593548774719238, 0.2597588896751404, 0.19810505211353302, 0.0]","[-0.730309247970581, -0.2375268042087555, -0.7889782190322876, -0.8210269212722778, -0.7545028924942017, -0.5834774374961853]",1.7917588949203491,5.9999918937683105,"[0.1667468398809433, 0.1665179282426834, 0.167035311460495, 0.16651000082492828, 0.16668246686458588, 0.1665075272321701]",0.42313262820243835,,0.0
ate_linear,20000006,static_ate,1,1,1.0,0.9988155364990234,0.34434330463409424,0.006692850962281227,0.0,-0.1528199464082718,-0.1528199464082718,linear,"[0.2625758945941925, 0.11810533702373505, 0.1851237714290619, 0.23027931153774261, 0.20391571521759033, 0.0]","[-0.24864187836647034, -0.10511761903762817, -0.17998909950256348, -0.02061784453690052, -0.18169021606445312, -0.6074312329292297]",1.7917587757110596,5.9999918937683105,"[0.16674847900867462, 0.16651855409145355, 0.1670357584953308, 0.16650818288326263, 0.16668258607387543, 0.16650643944740295]",0.4161533713340759,,0.0
ate_linear,20000007,static_ate,1,1,1.0,0.9984429478645325,0.21924015879631042,0.006692850962281227,-7.756401743108654e-08,-1.1737449169158936,-1.1737449169158936,interaction,"[0.2513035237789154, 0.09760682284832001, 0.21797160804271698, 0.2537335455417633, 0.1793844848871231, 0.0]","[-1.2429629564285278, -0.853131890296936, -1.1878979206085205, -1.2147138118743896, -1.1760811805725098, -1.1489182710647583]",1.7917588949203491,5.999991416931152,"[0.166746586561203, 0.16651825606822968, 0.16703464090824127, 0.166510671377182, 0.16668158769607544, 0.16650833189487457]",0.43338894844055176,,0.0
ate_linear,20000008,static_ate,1,1,1.0,0.9984733462333679,0.23831792175769806,0.006692850962281227,0.0,-0.8226368427276611,-0.8226368427276611,interaction,"[0.23425807058811188, 0.09526193141937256, 0.18014727532863617, 0.282912015914917, 0.2074207216501236, 0.0]","[-0.9169650673866272, 0.030064983293414116, -0.9150883555412292, -0.9071288108825684, -0.9121850728988647, -0.538027822971344]",1.7917587757110596,5.9999918937683105,"[0.1667463630437851, 0.16651827096939087, 0.16703449189662933, 0.16651107370853424, 0.16668130457401276, 0.1665085256099701]",0.4532914459705353,,0.0
ate_linear,20000009,static_ate,1,1,1.0,0.998421311378479,0.6689719557762146,0.006692850962281227,0.0,1.4986416101455688,1.4986416101455688,interaction,"[0.22176356613636017, 0.10685700923204422, 0.22375380992889404, 0.2444731742143631, 0.20315246284008026, 0.0]","[1.4555268287658691, 1.4655404090881348, 1.5275578498840332, 1.5447150468826294, 1.475823998451233, 1.0802373886108398]",1.7917588949203491,5.9999918937683105,"[0.16674937307834625, 0.16651920974254608, 0.16703586280345917, 0.16650672256946564, 0.16668252646923065, 0.1665063500404358]",0.6255080103874207,,0.0
