line,text
9,"locked 30-seed supported/identified effect bank, pooled MAE improved from 0.271"
16,Evaluation date: 2026-07-28
48,"With only five seeds, a rate of 0 or 1 has an approximate 95% Wilson interval"
88,| Sparse multi-response latent groups | 12 × 5 | 26.4 s | 204.1 MiB | 60/60 |
89,| Three-level latent graph | 15 × 5 | 66.1 s | 211.5 MiB | 75/75 |
105,| Correlated proxy | 1.00 | 1.00 | 0.939 | 0.089 | 0.350 / 0.304 / 0.301 |
153,"0.20 point estimate is above the nominal 0.05 target, although five seeds give"
163,"\(a=1\), but affected-outcome recall was only 0.467. The flexible cross-fitted"
164,"model's ASE RMSE was 0.149; the simple \(A,G,A\times G\) randomized-design"
177,The interaction experiment separated own-treatment levels: power was 0.20 at
178,"\(a=0\), where the spillover was deliberately weak, and 1.00 at \(a=1\). The"
191,| Misspecified exposure | 0.60 | 0.220 | 0.650 | 0.791 | Distance-two sensitivity RMSE 0.185 versus 0.221 for the primary unweighted map |
200,"policy in all five runs, with policy-effect RMSE 0.090 and zero observed policy"
214,| Correlated latents | 0.60 | 0.938 | 0.487 | 0.593 | 0.381 / 0.313 | 0.816 |
223,\(K\) recovery was 1.00 and support F1 was 0.950. Scaling one outcome by 25
228,support F1 remained 0.984 while score correlation fell to 0.709 and test loss
242,| Scenario | Level A F1 | Level B F1 | Level C F1 | Level C AUPRC | Level C partial-correlation RMSE |
259,"0.914, recall 0.927, and F1 0.919. The hidden-confounding data are persisted and"
269,“Localized recall” below requires one-to-one matching within 1% of the
288,within 1% of the designated midpoint. That is why “any detection” is 1.00 while
289,point-localized recall is 0.20; transition-window scoring is more appropriate
323,"lag-relevance calls, but its thresholded coefficient-support F1 was 0 against"
357,estimate 5% error rates. A serious study should run at least 200 seeds.
514,% matches the best task-specific specialists (pooled MAE 0.166 vs. 0.167--0.169;
554,"The experimental results can be summarized as follows. On answerable questions, CWFM matches the accuracy of the best task-specific estimator in each setting, without knowing in advance which setting it is in, and clearly outperforms a generic flexible baseline, with uncertainty intervals close to their nominal coverage (RQ1). It refuses every stress query that should be refused, while baseline estimators return a number in all of them (RQ2). It recovers genuine mechanism changes far more often than the previous version of the system and, unlike a standard model-based splitting baseline, largely resists the temptation to split a smooth nonlinear mechanism into fake regimes (RQ3). Generalization is good under moderate distribution shift but degrades sharply on one problem family that is qualitatively absent from pretraining, which we report as an honest limitation (RQ4). Finally, the gains are attributable to the estimator library, the risk-based routing, and the deterministic safety logic; the free-form neural components contribute little yet, which we also report openly (RQ5)."
563,"Structural causal models and the potential-outcomes framework give causal questions a precise meaning~\cite{pearl2009causality,hernan2020whatif}. They distinguish three tasks that look similar but are fundamentally different: predicting an outcome under the observed regime, estimating the effect of an intervention, and reasoning about what would have happened in a particular case under a different action. Their central tool is the theory of \emph{identification}: a set of rules, such as back-door adjustment, that determine whether a causal question can be answered from the available data under stated assumptions. When point identification fails, the theory does not stop; sensitivity analysis quantifies how conclusions change as hidden confounding grows~\cite{rosenbaum1983sensitivity}, and partial identification replaces a point estimate with an honest interval~\cite{manski1990bounds}. The framework also covers settings where units influence one another, such as treatments that spill over through a network~\cite{hudgens2008interference}."
569,"Prior-data fitted networks (PFNs) offer a way to remove the manual selection step. A transformer is pretrained on a large collection of synthetic problems whose ground truth is known by construction; afterwards, a new dataset is processed in a single forward pass, and the network approximates Bayesian inference under the distribution of problems it was trained on~\cite{muller2022pfns}. This idea has produced strong general-purpose tabular models~\cite{hollmann2025tabpfn} and has recently been carried over to causal questions. For causal-effect estimation, CausalFM builds PFNs from priors over structural causal models covering back-door, front-door, and instrumental-variable settings~\cite{ma2025causalfm}; Do-PFN predicts interventional outcome distributions directly from observational data~\cite{robertson2025dopfn}; and CausalPFN amortizes average and heterogeneous treatment-effect estimation~\cite{balazadeh2025causalpfn}. For causal discovery, Arrow predicts a graph skeleton together with a variable ordering, which guarantees an acyclic result~\cite{thompson2026arrow}; TabCausal and CDFM predict causal edges across heterogeneous tabular problems~\cite{li2026tabcausal,qiao2026cdfm}; and partial background knowledge can be supplied to such models instead of being ignored~\cite{reuter2026partialgraphs}. Extensions address temporal data with interventions~\cite{thumm2026causaltimeprior}, longitudinal treatment sequences~\cite{zare2026causallongpfn}, and amortized sensitivity analysis~\cite{javurek2026sensitivitypfn}."
588,"A \emph{structural causal model} (SCM) describes a system as a set of variables, each generated by a mechanism from its direct causes plus independent noise~\cite{pearl2009causality}. As a running example, suppose a variable $X$ (say, the severity of a patient's condition) influences both a treatment decision $A$ and an outcome $Y$, and the treatment also influences the outcome. An \emph{intervention} replaces one mechanism by force: instead of letting doctors choose the treatment, we set it to a fixed value $a$, written $do(A=a)$. The canonical causal quantity in this paper is the \emph{average treatment effect} (ATE),"
716,"Third, a neural \emph{residual} may adjust the compiled estimate. It is initialized at zero, passes through a learned gate, and is trained with a no-harm objective that penalizes any adjustment that worsens the compiled estimate far more than it rewards an improvement. If the residual cannot prove its worth during training, the gate stays closed and the final answer equals the compiled estimate. This is the architectural embodiment of principle 2: the burden of proof is on the neural correction, never on the classical estimate."
738,"Training and evaluation use five strictly separated streams, drawn from disjoint random-seed ranges so that no episode can appear in more than one stream. Table~\ref{tab:streams} summarizes them. Training episodes are generated online and never repeated: over 1,600 steps with 24 episodes per batch, the model sees 38,400 distinct episodes exactly once each. The final test bank is \emph{locked}: it is evaluated once, after all training, selection, and calibration decisions are frozen, and its 14 scenario cells with 30 seeds each are identical for CWFM and for every baseline."
772,"All results below come from the locked final test bank of Section~\ref{sec:approach-data}, which is evaluated exactly once, after every training, selection, and calibration decision is frozen. The bank contains 14 scenario cells with 30 seeds each, identical for all methods. Six cells contain answerable effect queries (static linear, static nonlinear, and randomized treatment effects; linear, threshold, and null network spillovers), giving 180 queries in which the true effect is known and an estimate is expected. Four cells contain regime-determination problems (a strong split, a weak split, the stationary nonlinear hard negative, and a complete null). The remaining four cells are \emph{stress cells} with 120 queries that must be refused: hidden confounding and poor overlap in the static setting, and hidden confounding and poor support in the network setting."
774,"CWFM is compared against five baselines that always answer: linear g-computation, g-computation with interactions, spline g-computation, a piecewise exposure-response estimator, and random forest g-computation. Each baseline is a strong specialist for at least one cell, so the comparison is deliberately unfavorable to a general model. For regime determination, the baseline is a model-based recursive splitting procedure of the kind widely used in practice. We also report \emph{CWFM (compiled only)}, which is the full system with the neural residual removed; the difference between the two isolates the contribution of the learned correction in RQ5."
776,"Metrics are the mean absolute error (MAE) of the estimated effect against the known truth, the empirical coverage and width of the 90\% intervals, the rate of false answers on the stress cells, and exact accuracy for regime determination (the detected structure must match the truth, including detecting nothing when there is nothing). Differences between methods are assessed with paired bootstrap confidence intervals over the shared seeds. All seeds, configuration values, and package versions are recorded in a result manifest together with a cryptographic hash of the evaluated checkpoint, so the experiment can be reproduced exactly."
778,\subsection{RQ1: Accuracy on Answerable Queries}\label{sec:assessment-rq1}
782,"Figure~\ref{fig:rq1} shows the pooled picture over the 180 answerable queries. CWFM reaches a pooled MAE of 0.166, side by side with the two best specialists (interaction g-computation at 0.167 and linear g-computation at 0.169) and far ahead of random forest g-computation at 0.329. The paired differences confirm statistical equivalence with the specialists: CWFM versus linear g-computation is $-0.0028$ with a 95\% bootstrap interval of $[-0.0132, 0.0080]$, and versus interaction g-computation $-0.0003$ with $[-0.0111, 0.0109]$. Versus random forest the difference is $-0.163$ with $[-0.203, -0.122]$, a clear improvement. Coverage of the 90\% intervals is 0.906, and the mean interval width (0.793) is in the same range as the specialists (0.772 to 0.817) and far below random forest (1.337)."
800,"nodes near coords style={font=\scriptsize, color=inkdark, /pgf/number format/.cd, fixed, fixed zerofill, precision=3},"
809,"at={(maeplot.south east)}, anchor=south west, xshift=14mm,"
814,"x tick label style={/pgf/number format/.cd, fixed, fixed zerofill, precision=2},"
818,"\addplot[draw=inkmuted, dashed, thin] coordinates {(0.90,-0.6) (0.90,6.6)};"
826,\caption{Pooled results on the 180 answerable effect queries of the locked test bank. Left: mean absolute error of the estimated effect. Right: empirical coverage of the 90\% intervals; the dashed line marks the nominal target. CWFM (blue) matches the best always-answer specialists (gray) without knowing in advance which mechanism generated each episode.}
833,\caption{MAE by scenario cell on the locked test bank (30 seeds per cell). Bold marks the best method per row. Specialists win their home cells; CWFM is close to the winner everywhere without knowing the mechanism.\label{tab:scenario}}
